street,city,zip,state,beds,baths,sq__ft,type,sale_date,price,latitude,longitude
6632 IBEX WOODS CT,CITRUS HEIGHTS,95621,CA,2,2,1162,Residential,Mon May 19 00:00:00 EDT 2008,164000,38720868,121309855
117 EVCAR WAY,RIO LINDA,95673,CA,3,2,1182,Residential,Mon May 19 00:00:00 EDT 2008,164000,38687659,1214633
6485 LAGUNA MIRAGE LN,ELK GROVE,95758,CA,2,2,1112,Residential,Mon May 19 00:00:00 EDT 2008,165000,3842465,121430137
746 MOOSE CREEK WAY,GALT,95632,CA,3,2,1100,Residential,Mon May 19 00:00:00 EDT 2008,167000,38283085,121302071
8306 CURLEW CT,CITRUS HEIGHTS,95621,CA,4,2,1280,Residential,Mon May 19 00:00:00 EDT 2008,167293,38715781,121298519
8306 CURLEW CT,CITRUS HEIGHTS,95621,CA,4,2,1280,Residential,Mon May 19 00:00:00 EDT 2008,167293,38715781,121298519
5217 ARGO WAY,SACRAMENTO,95820,CA,3,1,1039,Residential,Mon May 19 00:00:00 EDT 2008,168000,3852774,121433669
7108 HEATHER TREE DR,SACRAMENTO,95842,CA,3,2,1159,Residential,Mon May 19 00:00:00 EDT 2008,170000,38695677,12136022
2956 DAVENPORT WAY,SACRAMENTO,95833,CA,4,2,1917,Residential,Mon May 19 00:00:00 EDT 2008,170000,38620687,121482619
10062 LINCOLN VILLAGE DR,SACRAMENTO,95827,CA,3,2,1520,Residential,Mon May 19 00:00:00 EDT 2008,170000,38564,121320023
332 PALIN AVE,GALT,95632,CA,3,2,1204,Residential,Mon May 19 00:00:00 EDT 2008,174000,38260467,121302636
4649 FREEWAY CIR,SACRAMENTO,95841,CA,3,2,1120,Residential,Mon May 19 00:00:00 EDT 2008,178000,38658734,121357196
8593 DERLIN WAY,SACRAMENTO,95823,CA,3,2,1436,Residential,Mon May 19 00:00:00 EDT 2008,180000,38447585,121426627
9273 PREMIER WAY,SACRAMENTO,95826,CA,3,2,1451,Residential,Mon May 19 00:00:00 EDT 2008,180000,3855992,121352539
8032 DUSENBERG CT,SACRAMENTO,95828,CA,4,2,1638,Residential,Mon May 19 00:00:00 EDT 2008,180000,38466499,121381119
7110 STELLA LN Unit 15,CARMICHAEL,95608,CA,2,2,1000,Condo,Mon May 19 00:00:00 EDT 2008,182000,38637396,121300055
1786 PIEDMONT WAY,ROSEVILLE,95661,CA,3,1,1152,Residential,Mon May 19 00:00:00 EDT 2008,188325,3872748,121256537
1347 HIDALGO CIR,ROSEVILLE,95747,CA,3,2,1154,Residential,Mon May 19 00:00:00 EDT 2008,191500,38747878,121311279
212 CAPPUCINO WAY,SACRAMENTO,95838,CA,3,2,1353,Residential,Mon May 19 00:00:00 EDT 2008,192000,38657811,121465327
5938 WOODBRIAR WAY,CITRUS HEIGHTS,95621,CA,3,2,1329,Residential,Mon May 19 00:00:00 EDT 2008,192700,38706152,121325399
3801 WILDROSE WAY,SACRAMENTO,95826,CA,3,1,1356,Residential,Mon May 19 00:00:00 EDT 2008,195000,38544368,121369979
508 SAMUEL WAY,SACRAMENTO,95838,CA,3,2,1505,Residential,Mon May 19 00:00:00 EDT 2008,197654,38645689,121452766
6128 CARL SANDBURG CIR,SACRAMENTO,95842,CA,3,1,1009,Residential,Mon May 19 00:00:00 EDT 2008,198000,38681541,121355616
1 KENNELFORD CIR,SACRAMENTO,95823,CA,3,2,1144,Residential,Mon May 19 00:00:00 EDT 2008,200345,3846452,121427606
909 SINGINGWOOD RD,SACRAMENTO,95864,CA,2,1,930,Residential,Mon May 19 00:00:00 EDT 2008,203000,38581471,12138839
6671 FOXWOOD CT,SACRAMENTO,95841,CA,4,2,1766,Residential,Mon May 19 00:00:00 EDT 2008,207000,38687943,121328883
8165 AYN RAND CT,SACRAMENTO,95828,CA,4,3,1940,Residential,Mon May 19 00:00:00 EDT 2008,208000,38468639,121403265
9474 VILLAGE TREE DR,ELK GROVE,95758,CA,4,2,1776,Residential,Mon May 19 00:00:00 EDT 2008,210000,38413947,121408276
7213 CALVIN DR,CITRUS HEIGHTS,95621,CA,3,1,1258,Residential,Mon May 19 00:00:00 EDT 2008,212000,38698154,121298375
8167 DERBY PARK CT,SACRAMENTO,95828,CA,4,2,1872,Residential,Mon May 19 00:00:00 EDT 2008,213675,38460492,121373379
6344 LAGUNA MIRAGE LN,ELK GROVE,95758,CA,2,2,1112,Residential,Mon May 19 00:00:00 EDT 2008,213697,38423963,121428875
2945 RED HAWK WAY,SACRAMENTO,95833,CA,4,2,1856,Residential,Mon May 19 00:00:00 EDT 2008,215000,38619675,121496903
3228 I ST,SACRAMENTO,95816,CA,4,3,1939,Residential,Mon May 19 00:00:00 EDT 2008,215000,38573844,121462839
308 ATKINSON ST,ROSEVILLE,95678,CA,3,1,998,Residential,Mon May 19 00:00:00 EDT 2008,215100,38746794,12129971
624 HOVEY WAY,ROSEVILLE,95678,CA,3,2,1758,Residential,Mon May 19 00:00:00 EDT 2008,217500,38756149,121306479
110 COPPER LEAF WAY,SACRAMENTO,95838,CA,3,2,2142,Residential,Mon May 19 00:00:00 EDT 2008,218000,38658466,121460661
7535 ALMA VISTA WAY,SACRAMENTO,95831,CA,2,1,950,Residential,Mon May 19 00:00:00 EDT 2008,220000,3848403,121507641
7423 WILSALL CT,ELK GROVE,95758,CA,4,3,1739,Residential,Mon May 19 00:00:00 EDT 2008,221000,38417026,121416821
8629 VIA ALTA WAY,ELK GROVE,95624,CA,3,2,1516,Residential,Mon May 19 00:00:00 EDT 2008,222900,38398245,121380615
3318 DAVIDSON DR,ANTELOPE,95843,CA,3,1,988,Residential,Mon May 19 00:00:00 EDT 2008,223139,38705753,121388917
913 COBDEN CT,GALT,95632,CA,4,2,1555,Residential,Mon May 19 00:00:00 EDT 2008,225500,38282001,121295902
4419 79TH ST,SACRAMENTO,95820,CA,3,2,1212,Residential,Mon May 19 00:00:00 EDT 2008,228327,38534827,121412545
3012 SPOONWOOD WAY,SACRAMENTO,95833,CA,4,2,1871,Residential,Mon May 19 00:00:00 EDT 2008,230000,3862478,121523474
8728 CRYSTAL RIVER WAY,SACRAMENTO,95828,CA,3,2,1302,Residential,Mon May 19 00:00:00 EDT 2008,230000,3847547,121380055
4709 AMBER LN Unit 1,SACRAMENTO,95841,CA,2,1,756,Condo,Mon May 19 00:00:00 EDT 2008,230522,38657789,121354994
4508 OLD DAIRY DR,ANTELOPE,95843,CA,4,3,2026,Residential,Mon May 19 00:00:00 EDT 2008,231200,3872286,121358939
312 RIVER ISLE WAY,SACRAMENTO,95831,CA,3,2,1375,Residential,Mon May 19 00:00:00 EDT 2008,232000,3849026,121550527
301 OLIVADI WAY,SACRAMENTO,95834,CA,2,2,1250,Condo,Mon May 19 00:00:00 EDT 2008,232500,38644406,121549049
5636 25TH ST,SACRAMENTO,95822,CA,3,1,1058,Residential,Mon May 19 00:00:00 EDT 2008,233641,38523828,121481139
8721 SPRUCE RIDGE WAY,ANTELOPE,95843,CA,3,2,1187,Residential,Mon May 19 00:00:00 EDT 2008,234000,38727657,121391028
7461 WINDBRIDGE DR,SACRAMENTO,95831,CA,2,2,1324,Residential,Mon May 19 00:00:00 EDT 2008,234500,3848797,121530229
8101 LEMON COVE CT,SACRAMENTO,95828,CA,4,3,1936,Residential,Mon May 19 00:00:00 EDT 2008,235000,38462981,121408288
10949 SCOTSMAN WAY,RANCHO CORDOVA,95670,CA,5,4,2382,MultiFamily,Mon May 19 00:00:00 EDT 2008,236000,38603686,121277844
617 WILLOW CREEK DR,FOLSOM,95630,CA,3,2,1427,Residential,Mon May 19 00:00:00 EDT 2008,236073,38679626,121142609
3301 PARK DR Unit 1914,SACRAMENTO,95835,CA,3,2,1678,Condo,Mon May 19 00:00:00 EDT 2008,238000,38665296,121531993
709 CIMMARON CT,GALT,95632,CA,4,2,1798,Residential,Mon May 19 00:00:00 EDT 2008,238861,38277177,121303747
3305 RIO ROCA CT,ANTELOPE,95843,CA,4,3,2652,Residential,Mon May 19 00:00:00 EDT 2008,239700,38725079,121387698
9080 BEDROCK CT,SACRAMENTO,95829,CA,4,2,1816,Residential,Mon May 19 00:00:00 EDT 2008,240000,38456939,121362965
100 TOURMALINE CIR,SACRAMENTO,95834,CA,5,3,3076,Residential,Mon May 19 00:00:00 EDT 2008,240000,3863437,121510779
6411 RED BIRCH WAY,ELK GROVE,95758,CA,4,2,1844,Residential,Mon May 19 00:00:00 EDT 2008,241000,3843461,121429316
4867 LAGUNA DR,SACRAMENTO,95823,CA,3,2,1306,Residential,Mon May 19 00:00:00 EDT 2008,245000,3846179,121445371
3662 RIVER DR,SACRAMENTO,95833,CA,4,3,2447,Residential,Mon May 19 00:00:00 EDT 2008,246000,38604969,12154255
6943 WOLFGRAM WAY,SACRAMENTO,95828,CA,4,2,1176,Residential,Mon May 19 00:00:00 EDT 2008,247234,38489215,121419546
77 RINETTI WAY,RIO LINDA,95673,CA,4,2,1182,Residential,Mon May 19 00:00:00 EDT 2008,247480,38687021,121463151
1316 I ST,RIO LINDA,95673,CA,3,1,1160,Residential,Mon May 19 00:00:00 EDT 2008,249862,38683674,121435204
2130 CATHERWOOD WAY,SACRAMENTO,95835,CA,3,2,1424,Residential,Mon May 19 00:00:00 EDT 2008,251000,38675506,121510987
8304 JUGLANS DR,ORANGEVALE,95662,CA,4,2,1574,Residential,Mon May 19 00:00:00 EDT 2008,252155,38691829,121249033
5308 MARBURY WAY,ANTELOPE,95843,CA,3,2,1830,Residential,Mon May 19 00:00:00 EDT 2008,254172,38710221,121341707
9182 LAKEMONT DR,ELK GROVE,95624,CA,4,2,1724,Residential,Mon May 19 00:00:00 EDT 2008,258000,38451353,121358776
2231 COUNTRY VILLA CT,AUBURN,95603,CA,2,2,1255,Condo,Mon May 19 00:00:00 EDT 2008,260000,38931671,121097862
8491 CRYSTAL WALK CIR,ELK GROVE,95758,CA,0,0,0,Residential,Mon May 19 00:00:00 EDT 2008,261000,38416916,121407554
361 MAHONIA CIR,SACRAMENTO,95835,CA,4,3,2175,Residential,Mon May 19 00:00:00 EDT 2008,261000,38676172,121509761
3427 LA CADENA WAY,SACRAMENTO,95835,CA,4,2,1904,Residential,Mon May 19 00:00:00 EDT 2008,261000,38681194,121537351
955 BIG SUR CT,EL DORADO HILLS,95762,CA,4,2,1808,Residential,Mon May 19 00:00:00 EDT 2008,262500,38664347,121076529
11826 DIONYSUS WAY,RANCHO CORDOVA,95742,CA,4,2,2711,Residential,Mon May 19 00:00:00 EDT 2008,266000,38551046,121239411
5847 DEL CAMPO LN,CARMICHAEL,95608,CA,3,1,1713,Residential,Mon May 19 00:00:00 EDT 2008,266000,38671995,121324339
5635 FOXVIEW WAY,ELK GROVE,95757,CA,3,2,1457,Residential,Mon May 19 00:00:00 EDT 2008,270000,38395256,121438249
10372 VIA CINTA CT,ELK GROVE,95757,CA,4,3,2724,Residential,Mon May 19 00:00:00 EDT 2008,274425,38380089,121428186
6286 LONETREE BLVD,ROCKLIN,95765,CA,0,0,0,Residential,Mon May 19 00:00:00 EDT 2008,274500,38805036,121293608
7744 SOUTHBREEZE DR,SACRAMENTO,95828,CA,3,2,1468,Residential,Mon May 19 00:00:00 EDT 2008,275336,38476932,121378349
2242 ABLE WAY,SACRAMENTO,95835,CA,4,3,2550,Residential,Mon May 19 00:00:00 EDT 2008,277980,38666074,121509743
1042 STARBROOK DR,GALT,95632,CA,4,2,1928,Residential,Mon May 19 00:00:00 EDT 2008,280000,38285611,121293063
1219 G ST,SACRAMENTO,95814,CA,3,3,1922,Residential,Mon May 19 00:00:00 EDT 2008,284686,38582818,121489096
6220 OPUS CT,CITRUS HEIGHTS,95621,CA,3,2,1343,Residential,Mon May 19 00:00:00 EDT 2008,284893,38715853,121317095
5419 HAVENHURST CIR,ROCKLIN,95677,CA,3,2,1510,Residential,Mon May 19 00:00:00 EDT 2008,285000,38786746,121209957
220 OLD AIRPORT RD,AUBURN,95603,CA,2,2,960,MultiFamily,Mon May 19 00:00:00 EDT 2008,285000,38939802,121054575
4622 MEYER WAY,CARMICHAEL,95608,CA,4,2,1559,Residential,Mon May 19 00:00:00 EDT 2008,285000,3864913,121310667
4885 SUMMIT VIEW DR,EL DORADO,95623,CA,3,2,1624,Residential,Mon May 19 00:00:00 EDT 2008,289000,38673285,120879176
26 JEANROSS CT,SACRAMENTO,95832,CA,5,3,2992,Residential,Mon May 19 00:00:00 EDT 2008,295000,38473162,121491085
4800 MAPLEPLAIN AVE,ELK GROVE,95758,CA,4,2,2109,Residential,Mon May 19 00:00:00 EDT 2008,296000,38432848,121449237
10629 BASIE WAY,RANCHO CORDOVA,95670,CA,4,2,1524,Residential,Mon May 19 00:00:00 EDT 2008,296056,38579,121292627
8612 WILLOW GROVE WAY,SACRAMENTO,95828,CA,3,2,1248,Residential,Mon May 19 00:00:00 EDT 2008,297359,38464994,121386962
62 DE FER CIR,SACRAMENTO,95823,CA,4,2,1876,Residential,Mon May 19 00:00:00 EDT 2008,299940,3849254,121463316
2513 OLD KENMARE RD,LINCOLN,95648,CA,5,3,0,Residential,Mon May 19 00:00:00 EDT 2008,304000,38847396,121259586
3253 ABOTO WAY,RANCHO CORDOVA,95670,CA,4,3,1851,Residential,Mon May 19 00:00:00 EDT 2008,305000,3857727,121285591
3072 VILLAGE PLAZA DR,ROSEVILLE,95747,CA,0,0,0,Residential,Mon May 19 00:00:00 EDT 2008,307000,38773094,121365905
251 CHANGO CIR,SACRAMENTO,95835,CA,4,2,2218,Residential,Mon May 19 00:00:00 EDT 2008,311328,3868237,121539147
8205 WEYBURN CT,SACRAMENTO,95828,CA,3,2,1394,Residential,Mon May 19 00:00:00 EDT 2008,313138,3847316,121403893
8788 LA MARGARITA WAY,SACRAMENTO,95828,CA,3,2,1410,Residential,Mon May 19 00:00:00 EDT 2008,316630,38468185,121375694
5912 DEEPDALE WAY,ELK GROVE,95758,CA,5,3,3468,Residential,Mon May 19 00:00:00 EDT 2008,320000,38439565,121436606
4712 PISMO BEACH DR,ANTELOPE,95843,CA,5,3,2346,Residential,Mon May 19 00:00:00 EDT 2008,320000,38707705,121354153
4741 PACIFIC PARK DR,ANTELOPE,95843,CA,5,3,2347,Residential,Mon May 19 00:00:00 EDT 2008,325000,38709299,121353056
310 GROTH CIR,SACRAMENTO,95834,CA,4,2,1659,Residential,Mon May 19 00:00:00 EDT 2008,328578,38638764,121531827
6121 WILD FOX CT,ELK GROVE,95757,CA,3,3,2442,Residential,Mon May 19 00:00:00 EDT 2008,331000,38406758,121431669
12241 CANYONLANDS DR,RANCHO CORDOVA,95742,CA,0,0,0,Residential,Mon May 19 00:00:00 EDT 2008,331500,38557293,121217611
29 COOL FOUNTAIN CT,SACRAMENTO,95833,CA,4,2,2155,Residential,Mon May 19 00:00:00 EDT 2008,340000,38606906,12154132
907 RIO ROBLES AVE,SACRAMENTO,95838,CA,0,0,0,Residential,Mon May 19 00:00:00 EDT 2008,344755,38664765,121445006
8909 BILLFISH WAY,SACRAMENTO,95828,CA,3,2,1810,Residential,Mon May 19 00:00:00 EDT 2008,345746,38475433,121372584
6232 GUS WAY,ELK GROVE,95757,CA,4,2,2789,Residential,Mon May 19 00:00:00 EDT 2008,351000,38388129,12143117
200 OAKWILDE ST,GALT,95632,CA,4,2,1606,Residential,Mon May 19 00:00:00 EDT 2008,353767,382535,12131812
1033 PARK STREAM DR,GALT,95632,CA,0,0,0,Residential,Mon May 19 00:00:00 EDT 2008,355000,38287785,121289903
200 ALLAIRE CIR,SACRAMENTO,95835,CA,4,2,2166,Residential,Mon May 19 00:00:00 EDT 2008,356035,3868318,12153484
1322 SUTTER WALK,SACRAMENTO,95816,CA,0,0,0,Condo,Mon May 19 00:00:00 EDT 2008,360000,3853805,1215047
5479 NICKMAN WAY,SACRAMENTO,95835,CA,4,2,1871,Residential,Mon May 19 00:00:00 EDT 2008,360552,38672966,121502748
2103 BURBERRY WAY,SACRAMENTO,95835,CA,3,2,1800,Residential,Mon May 19 00:00:00 EDT 2008,362305,3867342,121508542
2450 SAN JOSE WAY,SACRAMENTO,95817,CA,3,1,1683,Residential,Mon May 19 00:00:00 EDT 2008,365000,38553596,121459483
7641 ROSEHALL DR,ROSEVILLE,95678,CA,3,2,0,Residential,Mon May 19 00:00:00 EDT 2008,367554,38791617,121286147
1336 LAYSAN TEAL DR,ROSEVILLE,95747,CA,0,0,0,Residential,Mon May 19 00:00:00 EDT 2008,368500,38796121,121319963
2802 BLACK OAK DR,ROCKLIN,95765,CA,2,2,1596,Residential,Mon May 19 00:00:00 EDT 2008,370000,38837006,121232024
2113 FALL TRAIL CT,PLACERVILLE,95667,CA,4,2,0,Residential,Mon May 19 00:00:00 EDT 2008,371086,38733155,120748039
10112 LAMBEAU CT,ELK GROVE,95757,CA,3,2,1179,Residential,Mon May 19 00:00:00 EDT 2008,378000,38390328,121448022
6313 CASTRO VERDE WAY,ELK GROVE,95757,CA,0,0,0,Residential,Mon May 19 00:00:00 EDT 2008,383000,38381102,12142901
3622 CURTIS DR,SACRAMENTO,95818,CA,3,1,1639,Residential,Mon May 19 00:00:00 EDT 2008,388000,38541735,121480098
11817 OPAL RIDGE WAY,RANCHO CORDOVA,95742,CA,5,3,3281,Residential,Mon May 19 00:00:00 EDT 2008,395100,38551083,121237476
170 LAGOMARSINO WAY,SACRAMENTO,95819,CA,3,2,1697,Residential,Mon May 19 00:00:00 EDT 2008,400000,38574894,121435806
2743 DEAKIN PL,EL DORADO HILLS,95762,CA,3,2,0,Residential,Mon May 19 00:00:00 EDT 2008,400000,3869288,121073551
3361 ALDER CANYON WAY,ANTELOPE,95843,CA,4,3,2085,Residential,Mon May 19 00:00:00 EDT 2008,408431,38727649,121385656
2148 RANCH VIEW DR,ROCKLIN,95765,CA,0,0,0,Residential,Mon May 19 00:00:00 EDT 2008,413000,38837455,121289337
398 LINDLEY DR,SACRAMENTO,95815,CA,4,2,1744,MultiFamily,Mon May 19 00:00:00 EDT 2008,416767,38622359,121457582
3013 BRIDLEWOOD DR,EL DORADO HILLS,95762,CA,4,3,0,Residential,Mon May 19 00:00:00 EDT 2008,420000,38675519,121015862
169 BAURER CIR,FOLSOM,95630,CA,4,3,1939,Residential,Mon May 19 00:00:00 EDT 2008,423000,3866695,121120729
2809 LOON CT,CAMERON PARK,95682,CA,4,2,0,Residential,Mon May 19 00:00:00 EDT 2008,423000,38687072,121004729
1315 KONDOS AVE,SACRAMENTO,95814,CA,2,3,1788,Residential,Mon May 19 00:00:00 EDT 2008,427500,38571943,121492106
4966 CHARTER RD,ROCKLIN,95765,CA,3,2,1691,Residential,Mon May 19 00:00:00 EDT 2008,430922,3882553,121254698
9516 LAGUNA LAKE WAY,ELK GROVE,95758,CA,4,2,2002,Residential,Mon May 19 00:00:00 EDT 2008,445000,38411258,121431348
5201 BLOSSOM RANCH DR,ELK GROVE,95757,CA,4,4,4303,Residential,Mon May 19 00:00:00 EDT 2008,450000,38399436,121444041
3027 PALMATE WAY,SACRAMENTO,95834,CA,5,3,4246,Residential,Mon May 19 00:00:00 EDT 2008,452000,38628955,121529269
500 WINCHESTER CT,ROSEVILLE,95661,CA,3,2,2274,Residential,Mon May 19 00:00:00 EDT 2008,470000,3873988,121248929
5746 GELSTON WAY,EL DORADO HILLS,95762,CA,4,3,0,Residential,Mon May 19 00:00:00 EDT 2008,471000,38677015,121034083
6935 ELM TREE LN,ORANGEVALE,95662,CA,4,4,3056,Residential,Mon May 19 00:00:00 EDT 2008,475000,38693041,12123294
9605 GOLF COURSE LN,ELK GROVE,95758,CA,3,3,2503,Residential,Mon May 19 00:00:00 EDT 2008,484500,38409689,121446059
719 BAYWOOD CT,EL DORADO HILLS,95762,CA,5,3,0,Residential,Mon May 19 00:00:00 EDT 2008,487500,38647598,121077801
5954 TANUS CIR,ROCKLIN,95677,CA,3,3,0,Residential,Mon May 19 00:00:00 EDT 2008,488750,38777585,1212036
100 CHELSEA CT,FOLSOM,95630,CA,3,2,1905,Residential,Mon May 19 00:00:00 EDT 2008,500000,3869435,121177259
1500 ORANGE HILL LN,PENRYN,95663,CA,3,2,1320,Residential,Mon May 19 00:00:00 EDT 2008,506688,38862708,121162092
408 KIRKWOOD CT,LINCOLN,95648,CA,2,2,0,Residential,Mon May 19 00:00:00 EDT 2008,512000,38861615,12126869
1732 TUSCAN GROVE CIR,ROSEVILLE,95747,CA,5,3,0,Residential,Mon May 19 00:00:00 EDT 2008,520000,38796683,121342555
2049 EMPIRE MINE CIR,GOLD RIVER,95670,CA,4,2,3037,Residential,Mon May 19 00:00:00 EDT 2008,528000,38629299,121249021
9360 MAGOS RD,WILTON,95693,CA,5,2,3741,Residential,Mon May 19 00:00:00 EDT 2008,579093,38416809,121240628
104 CATLIN CT,FOLSOM,95630,CA,4,3,2660,Residential,Mon May 19 00:00:00 EDT 2008,636000,38684459,121145935
4734 GIBBONS DR,CARMICHAEL,95608,CA,4,3,3357,Residential,Mon May 19 00:00:00 EDT 2008,668365,3863558,121353639
4629 DORCHESTER LN,GRANITE BAY,95746,CA,5,3,2896,Residential,Mon May 19 00:00:00 EDT 2008,676200,38723545,121216025
2400 COUNTRYSIDE DR,PLACERVILLE,95667,CA,3,2,2025,Residential,Mon May 19 00:00:00 EDT 2008,677048,38737452,120910963
12901 FURLONG DR,WILTON,95693,CA,5,3,3788,Residential,Mon May 19 00:00:00 EDT 2008,691659,38413535,121188211
6222 CALLE MONTALVO CIR,GRANITE BAY,95746,CA,5,3,3670,Residential,Mon May 19 00:00:00 EDT 2008,760000,38779435,121146676
20 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,0,Residential,Mon May 19 00:00:00 EDT 2008,4897,38885327,121289412
24 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,0,Residential,Mon May 19 00:00:00 EDT 2008,4897,38885132,121289405
28 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,0,Residential,Mon May 19 00:00:00 EDT 2008,4897,38884936,121289397
32 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,0,Residential,Mon May 19 00:00:00 EDT 2008,4897,38884741,12128939
36 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,0,Residential,Mon May 19 00:00:00 EDT 2008,4897,38884599,121289406
40 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,0,Residential,Mon May 19 00:00:00 EDT 2008,4897,38884535,121289619
44 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,0,Residential,Mon May 19 00:00:00 EDT 2008,4897,3888459,121289835
48 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,0,Residential,Mon May 19 00:00:00 EDT 2008,4897,38884667,121289896
52 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,0,Residential,Mon May 19 00:00:00 EDT 2008,4897,3888478,121289911
68 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,0,Residential,Mon May 19 00:00:00 EDT 2008,4897,38885236,121289928
72 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,0,Residential,Mon May 19 00:00:00 EDT 2008,4897,3888535,121289926
76 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,0,Residential,Mon May 19 00:00:00 EDT 2008,4897,38885464,121289922
80 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,0,Residential,Mon May 19 00:00:00 EDT 2008,4897,38885578,121289919
84 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,0,Residential,Mon May 19 00:00:00 EDT 2008,4897,38885692,121289915
88 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,0,Residential,Mon May 19 00:00:00 EDT 2008,4897,38885806,121289911
92 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,0,Residential,Mon May 19 00:00:00 EDT 2008,4897,3888592,121289908
96 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,0,Residential,Mon May 19 00:00:00 EDT 2008,4897,38886024,121289859
100 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,0,Residential,Mon May 19 00:00:00 EDT 2008,4897,38886091,121289744
434 1ST ST,LINCOLN,95648,CA,0,0,0,Residential,Mon May 19 00:00:00 EDT 2008,4897,3888653,121289406
3 E ST,LINCOLN,95648,CA,0,0,0,Residential,Mon May 19 00:00:00 EDT 2008,4897,38884692,121290288
11 E ST,LINCOLN,95648,CA,0,0,0,Residential,Mon May 19 00:00:00 EDT 2008,4897,38884879,121290257
19 E ST,LINCOLN,95648,CA,0,0,0,Residential,Mon May 19 00:00:00 EDT 2008,4897,38885017,121290262
27 E ST,LINCOLN,95648,CA,0,0,0,Residential,Mon May 19 00:00:00 EDT 2008,4897,38885173,12129027
35 E ST,LINCOLN,95648,CA,0,0,0,Residential,Mon May 19 00:00:00 EDT 2008,4897,38885328,121290275
43 E ST,LINCOLN,95648,CA,0,0,0,Residential,Mon May 19 00:00:00 EDT 2008,4897,38885483,121290277
51 E ST,LINCOLN,95648,CA,4,2,0,Residential,Mon May 19 00:00:00 EDT 2008,4897,38885638,121290279
59 E ST,LINCOLN,95648,CA,3,2,0,Residential,Mon May 19 00:00:00 EDT 2008,4897,38885794,121290281
75 E ST,LINCOLN,95648,CA,3,2,0,Residential,Mon May 19 00:00:00 EDT 2008,4897,38886104,121290285
63 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,0,Residential,Mon May 19 00:00:00 EDT 2008,4897,38885093,121289932
398 1ST ST,LINCOLN,95648,CA,0,0,0,Residential,Mon May 19 00:00:00 EDT 2008,4897,3888653,121288952
386 1ST ST,LINCOLN,95648,CA,0,0,0,Residential,Mon May 19 00:00:00 EDT 2008,4897,38886528,121288869
374 1ST ST,LINCOLN,95648,CA,0,0,0,Residential,Mon May 19 00:00:00 EDT 2008,4897,38886525,121288787
116 CRYSTALWOOD WAY,LINCOLN,95648,CA,0,0,0,Residential,Mon May 19 00:00:00 EDT 2008,4897,38886282,121289586
108 CRYSTALWOOD WAY,LINCOLN,95648,CA,0,0,0,Residential,Mon May 19 00:00:00 EDT 2008,4897,38886282,121289646
100 CRYSTALWOOD WAY,LINCOLN,95648,CA,0,0,0,Residential,Mon May 19 00:00:00 EDT 2008,4897,38886282,121289706
55 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,0,Residential,Mon May 19 00:00:00 EDT 2008,4897,38884865,121289922
51 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,0,Residential,Mon May 19 00:00:00 EDT 2008,4897,38884752,121289907
47 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,0,Residential,Mon May 19 00:00:00 EDT 2008,4897,38884638,121289893
43 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,0,Residential,Mon May 19 00:00:00 EDT 2008,4897,38884568,121289784
39 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,0,Residential,Mon May 19 00:00:00 EDT 2008,4897,38884546,121289562
35 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,0,Residential,Mon May 19 00:00:00 EDT 2008,4897,38884645,121289397
31 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,0,Residential,Mon May 19 00:00:00 EDT 2008,4897,3888479,121289392
27 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,0,Residential,Mon May 19 00:00:00 EDT 2008,4897,38884985,121289399
23 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,0,Residential,Mon May 19 00:00:00 EDT 2008,4897,38885181,121289406
19 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,0,Residential,Mon May 19 00:00:00 EDT 2008,4897,38885376,121289414
15 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,0,Residential,Mon May 19 00:00:00 EDT 2008,4897,38885571,121289421
